selling_price,availability,color,category,average_rating,reviews_count
13,InStock,White,Accessories,4.8,45
64,InStock,Orange,Clothing,4.9,35
13,InStock,White,Accessories,4.8,45
28,InStock,Black,Clothing,4.6,74
13,InStock,White,Accessories,4.8,45
72,InStock,White,Shoes,4.6,1841
72,InStock,White,Shoes,4.7,9636
63,InStock,White,Shoes,4.7,9636
72,InStock,White,Shoes,4.6,1841
72,InStock,White,Shoes,4.6,1841
84,InStock,Grey,Shoes,4.5,204
36,InStock,Burgundy,Clothing,3.7,3
23,InStock,Blue,Accessories,4.6,48
63,InStock,White,Shoes,4.6,1841
21,InStock,Pink,Shoes,4.7,454
105,InStock,Grey,Shoes,4.7,2540
21,InStock,White,Shoes,4.7,454
13,InStock,Green,Accessories,4.8,45
105,InStock,Red,Shoes,4.7,2540
112,InStock,Grey,Shoes,4.6,3938
21,InStock,Orange,Shoes,4.7,454
84,InStock,Black,Shoes,4.5,204
36,InStock,Black,Clothing,3.7,3
39,InStock,Pink,Clothing,4,25
52,InStock,White,Shoes,4.8,165
84,InStock,Black,Shoes,4.5,125
105,InStock,White,Shoes,4.7,2540
105,InStock,White,Shoes,4.7,2540
105,InStock,Green,Shoes,4.7,2540
105,InStock,White,Shoes,4.7,2540
91,InStock,Black,Shoes,4.5,96
105,InStock,Yellow,Shoes,4.7,2540
46,InStock,White,Shoes,4.7,1599
52,InStock,Multi,Shoes,4.7,1599
88,InStock,White,Shoes,4.7,92
44,InStock,Green,Clothing,4.7,94
21,InStock,Blue,Shoes,4.7,454
46,InStock,Multi,Shoes,4.7,1599
21,InStock,White,Shoes,4.7,454
54,InStock,White,Shoes,4.6,843
21,InStock,White,Shoes,4.7,454
84,InStock,White,Shoes,4.5,125
96,InStock,Pink,Shoes,4.5,125
105,InStock,Grey,Shoes,4.7,2540
46,InStock,White,Shoes,4.7,31
63,InStock,Black,Shoes,4.6,512
98,InStock,Black,Shoes,4.5,108
56,InStock,Black,Shoes,4.5,808
200,InStock,Yellow,Shoes,4.3,260
52,InStock,White,Shoes,4.8,165
52,InStock,Purple,Shoes,4.7,31
64,InStock,Purple,Shoes,4.8,29
98,InStock,White,Shoes,4.5,108
25,InStock,Yellow,Shoes,4.9,25
64,InStock,Black,Shoes,4.5,214
63,InStock,White,Shoes,4.6,512
48,InStock,Pink,Shoes,4.8,85
39,InStock,Black,Shoes,4.6,602
44,InStock,Blue,Shoes,4.5,17
63,InStock,White,Shoes,4.1,251
70,InStock,Black,Shoes,3.9,515
70,InStock,White,Shoes,3.9,515
90,InStock,Blue,Shoes,3.9,515
44,InStock,Grey,Shoes,4.6,602
70,InStock,Green,Shoes,4.2,77
75,OutOfStock,Pink,Shoes,4.1,181
64,InStock,Black,Shoes,4.5,314
90,InStock,White,Shoes,3.9,515
88,InStock,White,Shoes,4.8,1866
90,InStock,Orange,Shoes,3.9,515
56,InStock,Black,Shoes,4.5,41
81,InStock,Black,Shoes,4.1,251
81,InStock,Grey,Shoes,4.1,251
81,InStock,Grey,Shoes,4.1,251
70,InStock,Green,Shoes,3.9,515
56,InStock,Green,Shoes,4.2,350
48,InStock,Black,Shoes,4.9,18
81,InStock,Yellow,Shoes,4.1,251
72,InStock,White,Shoes,4.6,512
90,InStock,White,Shoes,4.7,684
70,InStock,Grey,Shoes,3.9,515
90,InStock,White,Shoes,4.7,684
72,InStock,Blue,Shoes,4.6,512
90,InStock,Blue,Shoes,4.7,684
63,InStock,White,Shoes,4.1,251
70,InStock,Yellow,Shoes,4.2,77
126,InStock,Grey,Shoes,4.6,3900
72,InStock,White,Shoes,4.8,1866
60,InStock,Pink,Shoes,4.5,562
70,InStock,White,Shoes,4.2,77
63,InStock,Blue,Shoes,4.1,251
63,InStock,Black,Shoes,4.1,251
60,InStock,White,Shoes,4.5,562
48,InStock,Grey,Shoes,4.7,540
68,InStock,White,Shoes,4.6,1254
70,InStock,Grey,Shoes,3.9,515
72,InStock,White,Shoes,4.8,1866
68,InStock,Grey,Shoes,4.6,1254
63,InStock,White,Shoes,4.8,1866
72,InStock,White,Shoes,4.8,1866
68,InStock,Black,Shoes,4.6,1254
68,InStock,Black,Shoes,4.6,1254
72,InStock,Yellow,Shoes,4.8,1866
68,InStock,Blue,Shoes,4.8,1866
68,InStock,White,Shoes,4.8,1866
68,InStock,Black,Shoes,4.5,562
53,InStock,Green,Shoes,4.8,470
144,InStock,White,Shoes,4.6,3900
42,InStock,White,Shoes,4.7,540
60,InStock,Grey,Shoes,4.6,1254
52,InStock,White,Shoes,4.2,452
68,InStock,White,Shoes,4.8,1866
68,InStock,White,Shoes,4.8,1866
126,InStock,Black,Shoes,4.6,3900
52,InStock,Grey,Shoes,4.2,452
41,InStock,Blue,Shoes,4.6,2005
36,InStock,Grey,Shoes,4.6,451
64,InStock,Blue,Shoes,4.6,375
68,InStock,White,Shoes,4.8,1866
52,InStock,Black,Shoes,4.2,452
40,InStock,Red,Shoes,4.6,427
40,InStock,White,Shoes,4.6,427
52,InStock,Black,Shoes,4.2,452
72,InStock,Blue,Shoes,4.3,88
48,InStock,White,Shoes,4.7,1518
52,InStock,Black,Shoes,4.2,452
72,InStock,Black,Shoes,4.4,595
112,InStock,White,Shoes,4.5,1702
40,InStock,Grey,Shoes,4.6,427
44,InStock,Grey,Shoes,4.7,104
46,InStock,Pink,Shoes,4.2,452
46,InStock,Black,Shoes,4.2,452
72,InStock,White,Shoes,4.5,94
80,InStock,White,Shoes,4.7,24
72,InStock,White,Shoes,4.5,94
40,InStock,Black,Shoes,4.6,427
56,InStock,White,Shoes,4.6,274
48,InStock,Orange,Shoes,4.7,1518
63,InStock,Pink,Shoes,4.2,38
72,InStock,Grey,Shoes,4.2,319
48,InStock,Blue,Shoes,4.7,1518
56,InStock,White,Shoes,4.6,37
72,InStock,Black,Shoes,4.2,319
63,InStock,Black,Shoes,4.2,38
72,InStock,Grey,Shoes,4.4,595
96,InStock,Black,Shoes,4.6,318
72,InStock,Black,Shoes,4.4,595
126,InStock,White,Shoes,4.5,207
72,InStock,White,Shoes,4.2,319
44,InStock,Red,Shoes,4.7,104
81,InStock,Black,Shoes,4.5,94
60,InStock,Blue,Shoes,4.6,377
144,InStock,Green,Shoes,4.8,584
112,InStock,White,Shoes,4.5,223
60,InStock,Blue,Shoes,4.6,377
112,InStock,White,Shoes,4.5,223
81,InStock,Blue,Shoes,4.5,94
81,InStock,Black,Shoes,4.5,94
96,InStock,White,Shoes,4.6,318
